image_id,cluster,PC1,PC2,labels_txt,strong_tags,weak_tags,meme,person,politik,ort,text,meme_weight,person_weight,politik_weight,ort_weight,text_weight,labels_txt_normalized
093,0,-2.310601182662297,-0.33589711008707174,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
094,2,-0.7377955235951185,1.998512755191348,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
095,0,-2.434890457655933,-0.6204129930277539,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
096,0,-2.6967170470320285,0.08143672254184588,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
097,0,-3.2414548614033203,0.07893602827619123,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
098,2,0.19316132774145323,2.457103551259598,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
099,2,-1.4542958701259425,1.5234139114810032,person politik text,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
100,3,2.083584675584538,0.509158146230188,person politik text,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
101,0,-2.810713451188032,-0.8396552209674693,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
102,0,-3.9835937338317415,-0.8170201336410967,person politik (text),"person,politik",text,0,1,1,0,1,0.0,1.0,1.0,0.0,0.5,person politik text
103,0,-2.5026944575282384,-0.5569752439400449,politik person,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
104,2,-1.7548586769044612,-1.124232282510361,politik person,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
105,3,3.164645689495693,0.8373385361991479,politik person,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
106,3,4.7073135647117486,0.6083728108574982,meme text (politik),"meme,text",politik,1,0,1,0,1,1.0,0.0,0.5,0.0,1.0,meme politik text
107,3,3.3329590988915934,3.4997974649227825,politik person text meme,"meme,person,politik,text",,1,1,1,0,1,1.0,1.0,1.0,0.0,1.0,meme person politik text
108,1,6.14513229780474,-0.8708568639671926,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
109,3,2.5236107904404346,3.1325923550023993,meme text politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
110,2,-0.7327335157830145,1.1140853917380946,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
111,2,-2.0507187859398344,-0.7609673896237277,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
112,2,-0.4050574941701361,-2.680350926584443,meme text,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
