image_id,primary_label,fixations_total,fixations_first_third,fixations_last_third,view_time_total_sum_ms,fixation_duration_mean_ms,fixation_duration_median_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,pupil_mm_std,pupil_norm_mean,pupil_norm_std,pupil_norm_abs_mean,pupil_norm_rms,pupil_size_norm_n,avg_pupil_size_n
058,person,1336,468,438,453345.0,275.1,224.8,267.0,283.5,3458.9,4.268,3.912,0.151,-0.0,1.0,0.786,0.979,27.26530612244898,27.26530612244898
059,person,1250,438,399,448409.0,300.7,257.7,288.6,340.2,2407.6,4.256,3.705,0.196,-0.0,1.0,0.803,0.976,25.510204081632654,25.510204081632654
060,person,1101,396,362,419373.0,317.4,261.9,298.7,323.5,2198.1,4.044,3.85,0.184,-0.0,1.0,0.791,0.972,22.9375,22.9375
061,person,1029,351,346,385448.0,300.6,266.2,284.9,322.3,2284.9,3.94,4.152,0.22,-0.0,1.0,0.784,0.973,20.979591836734695,21.0
062,person,1380,495,435,444489.0,253.7,224.9,248.7,272.8,2864.1,4.413,3.412,0.173,-0.0,1.0,0.752,0.98,28.75,28.75
063,person,1173,445,354,426565.0,273.3,216.6,242.4,338.5,3054.3,4.018,3.735,0.188,-0.0,1.0,0.806,0.973,23.93877551020408,23.93877551020408
064,person,1016,373,323,407012.0,314.2,253.7,286.3,372.5,2536.7,3.783,4.373,0.276,-0.0,1.0,0.797,0.971,21.166666666666668,21.166666666666668
065,person,1142,396,371,420485.0,328.9,233.1,321.8,399.9,2591.5,3.945,4.01,0.195,0.0,1.0,0.792,0.973,23.791666666666668,23.791666666666668
066,person,1364,478,450,455484.0,270.5,233.4,264.6,281.2,2601.0,4.504,3.492,0.165,-0.0,1.0,0.778,0.978,28.416666666666668,28.416666666666668
067,person,1159,407,395,429021.0,304.0,249.6,292.3,300.3,2476.9,4.068,4.059,0.185,0.0,1.0,0.783,0.974,23.653061224489797,23.653061224489797
068,person,1381,478,453,466479.0,279.1,232.7,273.4,294.3,3028.7,4.158,3.956,0.159,0.0,1.0,0.777,0.979,28.163265306122447,28.183673469387756
069,person,1230,445,394,430673.0,274.2,228.5,248.3,345.1,3256.4,4.175,3.941,0.182,-0.0,1.0,0.791,0.974,25.625,25.625
070,person,1071,391,350,410528.0,308.8,241.0,297.1,328.5,2591.7,3.772,3.791,0.176,-0.0,1.0,0.794,0.97,21.857142857142858,21.857142857142858
071,person,1212,410,406,453759.0,309.2,241.5,323.3,323.5,2805.9,3.92,3.921,0.173,-0.0,1.0,0.793,0.977,24.714285714285715,24.73469387755102
072,person,1217,416,399,430042.0,284.4,233.3,276.2,310.4,2780.5,4.124,3.661,0.164,0.0,1.0,0.799,0.975,26.456521739130434,26.456521739130434
073,person,1333,470,440,476238.0,301.6,249.6,276.3,308.5,3119.6,4.109,3.952,0.178,-0.0,1.0,0.787,0.979,27.183673469387756,27.20408163265306
074,person,1280,473,384,434852.0,276.7,232.9,258.6,333.3,2469.8,4.218,3.849,0.16,0.0,1.0,0.803,0.977,26.102040816326532,26.122448979591837
075,person,1149,390,378,421030.0,305.0,233.5,303.7,323.8,2721.5,3.939,3.994,0.2,0.0,1.0,0.796,0.975,23.448979591836736,23.448979591836736
076,person,1121,404,361,396002.0,284.4,216.9,252.1,367.2,2782.3,4.01,3.602,0.176,-0.0,1.0,0.787,0.973,22.877551020408163,22.877551020408163
077,person,1122,378,391,409301.0,306.4,233.2,316.1,304.7,2512.4,3.983,3.716,0.163,0.0,1.0,0.79,0.974,23.375,23.375
078,person,1385,474,460,471136.0,271.0,233.4,267.5,274.9,3087.2,4.299,3.924,0.171,0.0,1.0,0.797,0.979,28.26530612244898,28.26530612244898
079,person,1347,464,459,474172.0,287.5,232.9,275.0,293.0,2816.6,4.193,3.585,0.184,-0.0,1.0,0.78,0.975,28.0625,28.0625
080,person,1163,420,383,443188.0,299.2,249.5,294.6,305.2,3585.9,3.933,4.09,0.202,0.0,1.0,0.793,0.974,23.73469387755102,23.73469387755102
081,person,1227,415,403,442409.0,298.4,249.6,295.5,311.8,2688.9,4.192,3.616,0.162,0.0,1.0,0.774,0.978,25.5625,25.5625
082,person,1317,467,426,448493.0,274.2,241.4,263.7,291.1,2796.4,4.429,3.635,0.188,0.0,1.0,0.749,0.977,27.4375,27.4375
083,person,1307,466,425,450267.0,282.0,232.8,265.0,309.9,3021.7,4.245,4.033,0.248,0.0,1.0,0.82,0.977,26.6734693877551,26.6734693877551
084,person,1102,392,349,433957.0,338.3,249.6,326.5,399.9,2176.9,3.916,3.815,0.171,-0.0,1.0,0.801,0.971,22.489795918367346,22.489795918367346
085,person,1206,417,388,418279.0,288.3,241.3,286.0,314.1,2877.4,4.053,3.88,0.159,-0.0,1.0,0.793,0.977,25.104166666666668,25.125
086,person,964,336,307,393040.0,351.0,258.0,332.9,533.1,1942.5,3.689,4.147,0.243,-0.0,1.0,0.797,0.969,20.51063829787234,20.51063829787234
087,person,1161,399,372,397995.0,269.8,216.7,289.0,304.0,3072.8,3.966,3.517,0.166,0.0,1.0,0.763,0.968,23.693877551020407,23.693877551020407
088,politik,1899,676,581,557779.0,213.6,187.6,195.7,245.2,4731.0,4.965,3.717,0.195,0.0,1.0,0.812,0.985,39.5625,39.5625
089,politik,1257,446,408,410472.0,264.3,232.5,246.0,280.5,3442.9,4.212,3.867,0.157,-0.0,1.0,0.778,0.976,25.653061224489797,25.653061224489797
090,politik,996,375,298,381623.0,307.2,233.3,270.9,387.1,2921.7,3.501,4.041,0.21,0.0,1.0,0.79,0.971,20.3265306122449,20.3265306122449
091,politik,1193,428,379,420867.0,269.9,232.4,258.2,304.6,2816.4,3.923,3.941,0.182,-0.0,1.0,0.792,0.969,24.346938775510203,24.346938775510203
092,politik,1636,558,545,556657.0,280.5,232.9,285.6,282.3,3227.4,4.568,3.684,0.176,0.0,1.0,0.793,0.978,33.38775510204081,33.38775510204081
093,politik,1235,428,394,444848.0,295.0,245.5,280.2,342.4,2700.4,4.14,3.917,0.186,-0.0,1.0,0.781,0.977,25.708333333333332,25.729166666666668
094,politik,1210,443,391,427117.0,272.0,216.5,248.3,292.6,3327.6,4.114,3.733,0.165,0.0,1.0,0.794,0.972,24.693877551020407,24.693877551020407
095,politik,1161,393,392,419218.0,293.7,224.7,312.9,340.9,2559.0,3.941,3.568,0.17,-0.0,1.0,0.788,0.976,24.166666666666668,24.1875
096,politik,1180,416,377,449590.0,313.3,249.4,306.0,365.5,2840.5,3.736,3.584,0.208,0.0,1.0,0.776,0.976,24.040816326530614,24.081632653061224
097,politik,1166,386,384,428122.0,294.2,241.5,309.4,317.4,2500.6,3.978,3.954,0.189,-0.0,1.0,0.792,0.971,23.775510204081634,23.79591836734694
098,politik,1403,489,478,507494.0,302.3,249.6,297.7,296.8,3757.2,4.114,3.785,0.163,0.0,1.0,0.795,0.979,29.229166666666668,29.229166666666668
099,politik,1187,426,384,421360.0,282.3,232.6,279.7,297.4,3072.2,3.876,3.71,0.184,-0.0,1.0,0.79,0.976,24.20408163265306,24.224489795918366
100,politik,1570,542,503,478053.0,239.7,199.7,235.7,252.7,3394.3,4.593,3.518,0.162,-0.0,1.0,0.792,0.981,32.04081632653061,32.04081632653061
101,politik,1182,399,409,436143.0,309.7,249.6,308.8,310.7,2493.3,4.056,3.501,0.176,-0.0,1.0,0.804,0.974,25.148936170212767,25.148936170212767
102,politik,1053,394,317,390591.0,310.0,224.2,266.3,442.2,2252.6,3.891,3.734,0.166,-0.0,1.0,0.788,0.97,21.489795918367346,21.489795918367346
103,politik,1216,444,389,420892.0,285.5,232.8,268.9,322.9,2463.4,4.063,3.79,0.173,-0.0,1.0,0.796,0.97,25.333333333333332,25.333333333333332
104,politik,1204,414,418,440835.0,310.8,237.3,287.1,320.4,3012.7,3.988,3.492,0.173,0.0,1.0,0.753,0.974,25.083333333333332,25.083333333333332
105,politik,1730,613,558,570495.0,259.0,216.7,240.1,285.9,4017.4,4.691,3.54,0.162,0.0,1.0,0.795,0.984,36.041666666666664,36.041666666666664
106,meme,1664,603,535,469309.0,200.0,182.9,191.8,210.6,4618.2,4.757,3.312,0.15,-0.0,1.0,0.739,0.978,33.95918367346939,33.95918367346939
107,meme,1603,610,484,494462.0,232.0,199.7,200.8,267.2,4948.6,4.485,3.95,0.167,-0.0,1.0,0.783,0.978,32.714285714285715,32.714285714285715
108,meme,2102,731,681,564324.0,208.4,183.6,196.3,219.0,4533.4,5.041,3.573,0.137,-0.0,1.0,0.764,0.981,42.89795918367347,42.89795918367347
109,meme,1413,522,449,437648.0,236.3,199.9,216.4,265.1,4468.7,4.399,3.554,0.164,0.0,1.0,0.78,0.98,29.4375,29.4375
110,meme,1217,471,357,381296.0,240.5,212.1,209.6,282.4,3109.5,4.381,3.661,0.162,-0.0,1.0,0.803,0.97,25.354166666666668,25.354166666666668
111,meme,1013,400,313,360408.0,269.2,199.7,207.6,362.5,3117.5,4.0,3.364,0.179,0.0,1.0,0.749,0.967,20.6734693877551,20.6734693877551
112,meme,1364,567,396,469482.0,267.0,216.3,216.2,324.8,2409.9,4.326,3.349,0.182,-0.0,1.0,0.756,0.975,27.836734693877553,27.836734693877553
113,meme,1873,666,575,523469.0,211.8,183.7,193.7,248.3,4248.1,4.903,3.671,0.171,0.0,1.0,0.764,0.983,38.224489795918366,38.224489795918366
114,meme,1254,463,395,380619.0,226.7,191.7,211.5,231.7,3688.7,4.374,3.841,0.193,-0.0,1.0,0.772,0.979,26.680851063829788,26.680851063829788
115,meme,1405,508,446,424890.0,229.4,203.8,215.2,243.2,3489.0,4.586,3.715,0.148,-0.0,1.0,0.782,0.981,29.270833333333332,29.270833333333332
116,meme,1737,621,541,517309.0,228.6,191.6,212.6,248.3,4166.1,4.572,3.513,0.151,0.0,1.0,0.771,0.979,35.44897959183673,35.44897959183673
117,meme,1396,533,426,453182.0,250.6,204.3,216.7,282.9,3676.0,4.322,3.422,0.159,0.0,1.0,0.769,0.978,29.083333333333332,29.083333333333332
118,meme,1926,662,606,541407.0,216.9,199.7,212.6,230.8,4490.9,4.991,3.564,0.171,0.0,1.0,0.787,0.987,40.104166666666664,40.125
119,meme,1581,600,478,452888.0,222.6,199.7,196.2,257.5,3743.9,4.709,3.54,0.15,0.0,1.0,0.764,0.983,32.244897959183675,32.265306122448976
120,meme,1748,536,598,536175.0,244.6,216.1,283.2,232.7,3449.2,4.625,3.776,0.155,-0.0,1.0,0.778,0.984,36.395833333333336,36.416666666666664
121,meme,1367,542,407,424294.0,240.5,199.7,205.3,299.1,2928.1,4.262,3.674,0.173,-0.0,1.0,0.775,0.98,27.857142857142858,27.897959183673468
122,meme,1623,608,508,496705.0,238.2,191.3,203.7,260.6,4659.5,4.488,3.787,0.154,-0.0,1.0,0.787,0.983,33.12244897959184,33.12244897959184
123,meme,1135,430,368,372886.0,256.5,203.8,223.3,287.0,2985.1,4.195,3.528,0.187,0.0,1.0,0.766,0.976,23.645833333333332,23.645833333333332
124,meme,1571,560,491,458056.0,213.6,183.6,193.4,239.9,3803.8,4.661,3.807,0.165,-0.0,1.0,0.778,0.979,32.06122448979592,32.06122448979592
125,meme,1676,599,539,473462.0,207.1,183.0,190.8,229.4,3608.8,4.747,3.267,0.189,-0.0,1.0,0.74,0.983,34.204081632653065,34.204081632653065
126,politik,1871,651,611,529738.0,230.2,208.0,218.3,241.2,3333.0,5.095,3.41,0.144,-0.0,1.0,0.756,0.986,38.979166666666664,38.979166666666664
127,text,1605,583,515,508394.0,247.7,215.9,223.1,257.3,3467.6,4.766,3.354,0.18,0.0,1.0,0.753,0.983,32.755102040816325,32.755102040816325
