image_id,number_of_fixations,view_time_total_sum,fixation_duration_mean_weighted,fixation_duration_median_approx,scanpath_length_mean,BCEA_68_mean,BCEA_95_mean,primary_label_top,pupil_size_norm_mean,pupil_size_norm_std,fix_dur_mean_first_third,fix_dur_mean_last_third,n_fix_first_third,n_fix_last_third
023,944,388293.139,339.1122122042521,249.59900000000016,1933.3005264132582,42500.15179084904,111842.50471276064,ort,1.773104007319092e-16,1.0,318.0556236861518,483.4435793557138,352,290
024,1293,468276.19,288.24763922798354,249.57900000000063,2819.592401687997,71898.59764245295,189206.83590119198,ort,3.9822013956888363e-16,1.0,273.56679371683236,342.8191406840791,453,420
025,1408,494334.711,285.3206855350296,233.1097500000003,3294.075974889767,105082.11145041442,276531.87223793275,ort,-6.379562848869933e-16,1.0,283.23118256971446,291.48574813036055,483,458
026,1345,461588.634,272.4013187173174,249.5769999999993,2750.9934035079614,83337.48474124569,219309.1703716992,ort,-1.4145391479746188e-18,1.0,256.3566374254587,311.12851729945584,479,433
027,1000,392139.679,316.8866200160807,249.85675000000003,2571.8312496360227,65153.58765552549,171456.80961980394,ort,-4.4314410939406626e-16,1.0,315.1172425054113,376.23479555097674,357,314
028,1228,445266.663,302.70192880992875,249.57849999999985,2823.9966231877215,76426.19205012503,201121.55802664484,ort,2.768895217690339e-16,1.0,279.72483475356177,360.0076329675601,441,403
029,1196,414909.426,288.36405828023317,233.36999999999995,2785.0449338239264,79366.61717009761,208859.51886867793,ort,4.2193567291842514e-16,1.0,284.5320968710432,346.05522814656075,430,379
030,1080,398771.688,296.0913298884217,237.2005,2698.3720331648688,71776.31932235336,188885.0508482983,ort,-5.324101464383581e-17,1.0,268.622885517297,377.2678597832841,381,357
031,1278,447134.397,301.85296039399844,249.5960000000005,2130.4097039544918,45534.325655508386,119827.17277765366,ort,9.163092863162397e-16,1.0,282.8485243519019,377.3755835641433,453,409
032,1202,420382.26399999997,290.08281183784595,233.1827500000004,2929.787084928959,76737.92922986658,201941.91902596471,ort,-4.359862626459991e-16,1.0,264.14357929571327,405.732354744192,427,387
033,1837,512075.298,211.80733082491852,191.297,4213.706551531485,93060.3183892388,244895.5747085232,person,-4.565436872193193e-16,1.0,197.85593257921587,237.12939462742892,660,563
034,1453,514436.396,305.81942954938523,241.57749999999967,2856.2076967177177,83469.7183294129,219657.153498455,person,7.835937249985986e-16,1.0,325.3691927492859,297.6385647363479,477,510
035,1269,464871.987,300.47725624893206,237.14175000000006,2684.3024857393234,63752.672760209265,167770.19147423492,person,1.7209130128419245e-16,1.0,308.98348121154953,293.26506958065085,426,428
036,1193,437537.181,295.2596169177744,249.5999999999999,2895.306488373496,85469.88739317955,224920.75629784097,person,4.567830514275659e-17,1.0,283.89672478246484,374.1725876565494,422,374
037,1328,467160.207,289.65581742762527,233.55949999999984,2360.285358807878,51116.02871352182,134515.86503558376,person,1.6722423596885484e-16,1.0,276.8192441026107,312.41253568268945,482,431
038,1213,426992.38899999997,290.84596856193116,233.59800000000018,2676.5736091723875,61566.75706219205,162017.78174261068,person,-7.379835365992728e-18,1.0,264.9966307284644,341.47375319001026,432,391
039,1336,471325.511,279.5338578472138,232.918,3590.9285872690534,116331.41945415367,306135.314353036,person,2.4999544578485368e-17,1.0,265.32991116841845,308.7339811960715,478,428
040,1216,416189.879,270.4131502324014,232.99399999999991,3364.751805196346,91163.92270919483,239905.05976103904,person,1.8709172051077108e-16,1.0,242.38274291089422,313.71367312215665,456,375
041,1295,460386.924,289.3936844950295,233.60500000000047,2918.6126036471564,86693.62848522607,228141.1275927002,person,-4.820629073207726e-16,1.0,292.2786017445373,312.0515197171176,449,425
042,989,384267.786,308.7501263137171,241.35,2735.920107027422,61593.69654934631,162088.6751298587,person,2.7437434845103223e-16,1.0,267.0635868915954,381.5119831683682,379,292
043,1219,443920.541,285.4735094656236,224.68949999999995,3307.3976703915746,135765.39019914894,357277.3426293394,person,1.7491143561096358e-16,1.0,271.103080637731,284.4169757680763,425,421
044,1221,436355.094,295.50671265508873,232.82149999999984,2805.918426454421,65368.97724166894,172023.62432018144,person,-3.797890275878695e-16,1.0,274.21592359292595,333.8775018690234,448,376
045,1324,456425.671,275.3187304078929,233.2969999999996,3665.605800511232,113799.93806062578,299473.5212121731,person,1.0658679705618464e-16,1.0,256.95935869022924,305.3820722196487,483,410
046,1144,421199.201,315.7914674212252,249.5775,2331.3928292510145,46090.83549785861,121291.6723627858,person,-4.066946499728371e-16,1.0,297.62205092692216,360.2522854540398,414,358
047,1298,461601.593,284.54944059861685,232.99250000000006,3106.9918953997712,81971.71266479116,215715.0333283978,person,2.1750297398358903e-16,1.0,275.0944513144263,303.09954602399915,451,421
048,1363,459782.237,267.42301932996304,232.2289999999998,2858.107995481713,100534.35005913048,264564.07910297497,person,-1.1267729026699121e-16,1.0,252.91635092029153,278.9104896273595,490,446
049,1471,471944.784,256.26189920365385,216.45224999999965,3283.793436778959,94132.0246902068,247715.85444791263,person,7.329311467113802e-16,1.0,243.79172247120255,271.6670708158479,509,480
050,1621,526365.844,254.9310056366406,216.84299999999985,3669.090619572031,111279.08912659701,292839.7082278869,person,3.2170846855155483e-16,1.0,265.5623841378556,251.28057443129765,559,541
051,1158,430063.24,302.7955152079296,249.57799999999952,2754.9564924734477,79269.61582462808,208604.25217007395,person,2.671572497945132e-16,1.0,294.41088248105325,344.17082172526057,402,376
052,1221,413249.913,281.2886643247472,220.792,2832.4782939469083,83391.03173358004,219450.08350942118,person,4.652675777439043e-17,1.0,264.0890055755001,301.7020007149261,426,393
053,1237,428955.2,287.33956521426796,249.62049999999994,2642.9600711985254,66644.61862494382,175380.57532879955,person,5.564349392989692e-17,1.0,285.9007606355246,315.225334657212,422,396
054,1277,474632.891,303.5257222766988,249.6009999999997,2648.3286074206703,54810.093122011414,144237.08716318794,person,5.98412960688551e-16,1.0,270.3974552583821,352.48402956822093,465,405
055,1496,490722.627,258.6611682814931,232.8089999999997,3336.0886684072357,113010.96822397201,297397.2847999264,person,2.918696422114294e-16,1.0,252.69749228091507,279.8351663382488,518,479
056,1523,529265.9839999999,285.8054692746642,245.50775000000021,3230.11489355282,96874.43625842471,254932.7269958545,person,-8.947470498920352e-16,1.0,304.00225052292177,296.09864017737425,512,506
057,1190,431253.488,274.4954298451324,232.49250000000077,3057.641233311465,80708.81615951625,212391.62147241124,person,1.4914755093859638e-16,1.0,254.56559602042284,337.7009744456224,432,380
058,1336,453344.699,275.07440525035247,224.8495,3458.887743573501,109682.57407389127,288638.35282602964,person,-5.464334728921152e-16,1.0,266.9774743393337,283.50389731396723,468,438
059,1250,448408.808,300.6770937135348,257.6595,2407.6183111028226,50833.883579410685,133773.37784055443,person,-7.4624048339086455e-16,1.0,288.6360570402453,340.1517950685086,438,399
060,1101,419372.971,317.3872458184106,261.86775,2198.1316444512604,46502.099081692264,122373.94495182177,person,-1.278220051549481e-16,1.0,298.68915131701937,323.50830609717246,396,362
