participant,image_id,code,primary_label,label_set,file,path,code_meme,code_person,code_politik,code_ort,code_text
000,073,00100,politik,politik,P000_id073_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id073_person_00100.csv,0,0,1,0,0
000,074,00101,multi,"politik,text",P000_id074_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id074_person_00101.csv,0,0,1,0,1
000,075,00100,politik,politik,P000_id075_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id075_person_00100.csv,0,0,1,0,0
000,076,00101,multi,"politik,text",P000_id076_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id076_person_00101.csv,0,0,1,0,1
000,077,00100,politik,politik,P000_id077_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id077_person_00100.csv,0,0,1,0,0
000,078,00100,politik,politik,P000_id078_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id078_person_00100.csv,0,0,1,0,0
000,079,00100,politik,politik,P000_id079_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id079_person_00100.csv,0,0,1,0,0
000,080,00100,politik,politik,P000_id080_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id080_person_00100.csv,0,0,1,0,0
000,081,00100,politik,politik,P000_id081_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id081_person_00100.csv,0,0,1,0,0
000,082,00101,multi,"politik,text",P000_id082_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id082_person_00101.csv,0,0,1,0,1
000,083,00100,politik,politik,P000_id083_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id083_person_00100.csv,0,0,1,0,0
000,084,00101,multi,"politik,text",P000_id084_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id084_person_00101.csv,0,0,1,0,1
000,085,00101,multi,"politik,text",P000_id085_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id085_person_00101.csv,0,0,1,0,1
000,086,00100,politik,politik,P000_id086_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id086_person_00100.csv,0,0,1,0,0
000,087,00101,multi,"politik,text",P000_id087_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id087_person_00101.csv,0,0,1,0,1
