image_id,cluster,labels_txt,strong_tags,weak_tags,meme,person,politik,ort,text,meme_weight,person_weight,politik_weight,ort_weight,text_weight
046,0,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
047,0,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
048,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
049,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
050,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
051,0,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
052,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
053,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
054,0,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
055,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
056,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
057,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
058,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
059,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
060,1,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
061,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
062,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
063,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
064,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
065,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
066,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
067,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
068,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
069,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
070,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
071,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
072,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
073,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
074,0,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5
075,0,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
076,0,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5
077,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
078,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
079,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
080,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
081,1,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
082,1,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5
083,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
084,4,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5
