file,n_fix,view_time_total,sum_fix_dur,fix_dur_mean,fix_dur_median,scanpath_length,bcea_68,bcea_95,participant,image_id,primary_label
P042_id144_text_00001.csv,53,14959.447,12375.351000000004,233.49718867924537,199.6819999999998,3219.1867627823326,72217.75022253723,190046.7111119401,042,144,text
P042_id146_text_00011.csv,45,14943.373,12680.911999999997,281.7980444444444,216.6659999999993,3184.4961778597203,58344.91001746877,153539.23688807574,042,146,text
P042_id147_text_10001.csv,56,14958.800000000001,11970.178,213.75317857142858,199.6800000000003,5465.519125455931,94973.686548203,249930.75407421848,042,147,text
P042_id148_text_10001.csv,55,15026.056,11417.975999999999,207.59956363636363,199.67199999999863,6542.746816504802,162756.0977540486,428305.520405391,042,148,text
P042_id149_text_10001.csv,57,14959.767,12113.896999999994,212.5245087719297,199.6790000000001,6413.583008736374,107900.3160131131,283948.2000345082,042,149,text
P042_id150_text_10001.csv,51,14755.679,11348.289999999999,222.51549019607842,215.724,4402.633478201401,81410.62363901739,214238.4832605721,042,150,text
P042_id151_text_10011.csv,56,14909.328,11998.412000000006,214.25735714285724,191.53999999999996,7237.7242326235555,188714.0087982912,496615.81262708217,042,151,text
P042_id152_text_10011.csv,55,15008.911,12514.052000000001,227.5282181818182,199.6810000000005,4566.264435844402,97849.91163353251,257499.76745666453,042,152,text
P042_id153_text_10011.csv,57,14881.984,11658.777000000004,204.5399473684211,183.6389999999992,5172.507274771768,91858.45116704237,241732.76622905885,042,153,text
P043_id001_meme_10000.csv,16,5823.566,5042.837000000001,315.1773125000001,208.2795000000002,2794.3125988258826,29420.109359700273,77421.34042026388,043,001,meme
P043_id002_meme_10000.csv,17,6124.534,5244.246999999999,308.4851176470588,266.47099999999955,1720.9343922723415,49618.67662892545,130575.46481296171,043,002,meme
P043_id003_meme_10000.csv,19,6023.149,4809.383000000001,253.12542105263162,233.57,3315.244146842317,42473.3917241824,111772.08348469055,043,003,meme
P043_id004_meme_10000.csv,20,7687.707,6357.599,317.87995,299.55099999999993,2892.704010074627,67817.18892625309,178466.28664803447,043,004,meme
P043_id005_meme_10000.csv,23,7837.455,6770.650000000002,294.3760869565218,249.5999999999999,3481.862116450771,84567.21118896459,222545.29260253836,043,005,meme
P043_id006_meme_10000.csv,18,5241.614,4545.269,252.51494444444447,241.57999999999984,2582.5926668658485,105716.03683827783,278200.0969428364,043,006,meme
